지점,지점명,위도,경도,노장해발고도(m)
259,강진군,34.6289,126.7672,9.95
260,장흥,34.6889,126.9195,43.99
261,해남,34.5538,126.5691,16.36
262,고흥,34.6183,127.2757,51.91
262,고흥,34.6182,127.2757,53.12
263,의령군,35.3226,128.2881,14.1
264,함양군,35.5114,127.7454,152.07
265,성산포,33.3868,126.8804,18.62
266,광양시,34.9434,127.6914,88.21
266,광양시,34.943,127.691,80.9
268,진도군,34.473,126.2585,9.82
269,안마도,35.3469,126.0305,28
269,안마도,35.3469,126.0305,28
271,봉화,36.9436,128.9145,324.67
271,봉화,36.9436,128.9145,324.67
272,영주,36.8718,128.5169,211.32
273,문경,36.6273,128.1488,170.61
273,문경,36.6273,128.1488,173.01
273,문경,36.6273,128.1488,173.01
276,청송군,36.4351,129.0401,208.65
276,청송군,36.4351,129.0401,208.65
277,영덕,36.5334,129.4093,40.71
277,영덕,36.5304,129.4117,41.2
278,의성,36.3561,128.6886,81.44
279,구미,36.1306,128.3206,49.17
281,영천,35.9774,128.9514,96.12
283,경주시,35.8174,129.2009,40.13
284,거창,35.6674,127.9099,228.45
284,거창,35.6712,127.911,221.4
285,합천,35.5651,128.1699,26.72
288,밀양,35.4915,128.7441,8.31
289,산청,35.413,127.8791,138.22
294,거제,34.8882,128.6046,44.83
295,남해,34.8166,127.9264,45.71
296,북부산,35.2178,128.9602,3
296,북부산,35.2178,128.9602,3
300,말도,35.858,126.3151,44.18
300,말도,35.8584,126.3153,48.45
300,말도,35.8584,126.3153,48.45
300,말도,35.8584,126.3153,48.45
300,말도,35.85,126.3167,49
301,임자도,35.0951,126.1164,9
301,임자도,35.0951,126.1164,9
301,임자도,35.087,126.1199,6.33
301,임자도,35.0859,126.118,6
301,임자도,35.0841,126.1112,15.35
301,임자도,35.3333,126.0167,5
302,장산도,34.6427,126.1826,6
302,장산도,34.6647,126.1593,17.03
302,장산도,34.6647,126.1593,17.03
302,장산도,34.6647,126.1592,19
302,장산도,34.6432,126.1491,18.91
303,가거도,34.0728,125.0974,105.88
303,가거도,34.0725,125.0972,97.84
303,가거도,34.0725,125.0972,97.84
303,가거도,34.0728,125.0975,107.9
303,가거도,34.0522,125.1264,22
303,가거도,34.0667,125.1167,60
304,신지도,34.318,126.8485,25.41
304,신지도,34.318,126.8485,25.41
304,신지도,34.318,126.8485,21
304,신지도,34.318,126.8485,21
304,신지도,34.3347,126.8273,21.41
304,신지도,34.1678,126.655,25
304,신지도,34.0833,126.6,100
305,여서도,33.9862,126.9201,34.96
305,여서도,33.9862,126.9201,35.38
305,여서도,33.9862,126.9201,35.38
305,여서도,33.9,126.9167,32
306,소리도,34.4319,127.8011,3.04
306,소리도,34.4319,127.8011,3.04
306,소리도,34.9525,127.8008,5
307,평도,34.2437,127.4496,38.49
308,옥도,34.687,126.073,8.23
308,옥도,34.687,126.073,8.23
308,옥도,34.687,126.073,8.23
308,옥도,34.687,126.0731,5.6
309,판문점,37.9464,126.6866,25
310,궁촌,37.3247,129.2647,14.07
310,궁촌,37.3247,129.2647,14.07
310,궁촌,37.3246,129.265,14
310,궁촌,37.5546,129.1185,70.66
311,가야산,35.7892,128.0867,605.47
311,가야산,35.7892,128.0867,605.47
311,가야산,35.7892,128.0867,595.71
312,주왕산,36.3931,129.1413,262.19
312,주왕산,36.3931,129.1413,262.19
312,주왕산,36.3931,129.1413,262.19
312,주왕산,36.3908,129.1418,260.96
313,양지암,34.8821,128.7413,70
313,양지암,34.8821,128.7413,71
313,양지암,34.8933,128.7514,52.48
313,양지암,34.8934,128.7514,54.65
313,양지암,34.8934,128.7514,54.65
314,설천봉,35.8662,127.7431,1515.31
314,설천봉,35.8662,127.7431,1515.31
314,설천봉,35.8662,127.7431,1518.32
314,설천봉,35.8662,127.7431,1518.32
314,설천봉,35.8662,127.7431,1518.32
314,설천봉,35.8667,127.75,1515
314,설천봉,35.8667,127.75,1515
